"","RNA_S6614Nr10.bam","RNA_S6614Nr11.bam","RNA_S6614Nr12.bam","RNA_S6614Nr13.bam","RNA_S6614Nr14.bam","RNA_S6614Nr15.bam","RNA_S6614Nr16.bam","RNA_S6614Nr17.bam","RNA_S6614Nr18.bam","RNA_S6614Nr1.bam","RNA_S6614Nr2.bam","RNA_S6614Nr3.bam","RNA_S6614Nr4.bam","RNA_S6614Nr5.bam","RNA_S6614Nr6.bam","RNA_S6614Nr7.bam","RNA_S6614Nr8.bam","RNA_S6614Nr9.bam"
"YDR346C",1597.8970201939,1558.01124193383,1428.38097496414,1993.64073244532,1357.63006976862,2007.44997915029,2047.35833283616,1909.10264301273,2047.97694220483,2341.36228224268,1539.66828439954,2224.70961437203,2455.06329273453,1469.0367759658,1850.77029107217,2010.81574078193,1787.29663057851,2277.51661346282
"YDR072C",3290.67777050259,3800.56002526577,4931.85610719611,2729.61090937606,2819.08664051664,4230.36865015928,2455.68940980292,3179.2162448523,3411.75651723926,3066.18652475387,3265.93767065837,3101.22871346146,2481.80004864515,3204.83893662191,3824.07809528546,2534.85259384642,2975.90217655426,3801.89577764064
"YDR242W",893.832240211735,851.636858022331,637.359892476984,1362.94223905023,1030.3794527576,581.765468018509,1045.92066362716,943.737660809588,626.507875840689,609.474109109294,1074.42069411359,633.089784936375,863.439940878447,1403.25900987778,756.101840344835,981.816172982892,1038.77604941024,545.541870315418
"YDR323C",1062.97280259026,826.002303767479,793.693451009074,719.201236190553,1114.49206114597,782.869580419969,826.927460337724,733.362807254117,844.574153067006,675.739079361446,824.224597898665,755.455322532028,780.084172451201,1156.5923870477,775.163231277898,745.899198902136,806.195533821104,770.034763852294
"YDR486C",1553.89297144502,1727.00941442879,1378.94215730869,1515.72592134978,1692.76624381605,1432.8668008604,984.328825202008,1423.47097172113,1126.09887075601,1453.73891528485,1610.79426492886,1702.70343803313,1617.57373259286,1721.18487930322,1444.12728450016,1087.22588480621,1704.54561155488,1381.95894139636
"YDR420W",1585.52088148328,1392.81078118033,1330.8395239142,2620.6127945648,1709.85161739494,1434.06384914851,2282.31979053212,2612.97364836655,1707.60894335952,1447.19422686489,2111.18645735871,1330.39978109316,1366.72005213729,1012.24673368788,1302.52838042598,2022.86256499031,1718.96434971809,1436.2717382198
"YDL122W",1397.12854777711,1917.84442943713,1889.36454499466,2183.68872750085,1199.91892904041,1971.53853050717,1854.59869035743,2297.41136803334,2053.7458913378,1738.43286155336,1480.25717125151,1547.3599541351,1625.43748433128,1277.18495820907,1691.92536662998,1848.18361396882,1537.16286852982,2036.12640535865
"YDR390C",2042.06288725296,1901.70415453593,2067.07705170208,1737.4485822479,2092.30113366083,2221.72162272089,2338.20868095494,1882.56002130246,2380.26841226398,2037.85235676678,1623.34590855169,2064.59300666708,3197.40145684131,2071.99963177266,1718.24823982326,2288.89659959202,1745.29421940743,1995.09006998094
"YDR481C",7751.58821242085,7432.12187803658,7036.34631820502,6763.47276521168,8043.26817713838,6528.70136331882,6913.11356842337,7121.28709885902,6703.51889251271,5765.87049798967,6588.7761257402,5642.70018047472,6368.066157772,7599.15914333554,7705.34036337011,6934.95513595687,7710.26350736062,6413.73782932773
"YDR318W",2395.47040376745,1449.77645730223,1680.91980028521,1181.27871436479,3168.67966913082,1873.38057088265,1899.0816847756,1366.45348804722,1729.53095006481,1330.207921358,1514.56499715389,1122.98585566507,1598.70072842066,2620.14768250617,1040.20733377573,1636.36028830482,1181.08272606451,1210.5718936424
